feature_a,feature_b,mean_interaction,interaction_fold_std,pct_of_main_a,pct_of_main_b,verdict,correlation_section2,redundancy_flag
AmountExonsAfter,phylop_new3utr_first200_median,0.00042708171230671887,0.0001,0.7,1.5,weak interaction (near-additive),0.257,
phylop_ptc_to_ejc_median,cdsseq_AUcontentlast200,0.0004221661623163173,3e-05,0.6,0.8,weak interaction (near-additive),0.082,
phylop_ptc_to_ejc_median,CADD_phred,0.0004187115110629088,0.00016,0.6,1.1,weak interaction (near-additive),0.3,
phastcons_new3utr_first200_median,threeUTR_UC_content,0.00041720942626140235,3e-05,0.5,1.8,weak interaction (near-additive),0.107,
cdsseq_AUcontentlast200,readthrough_score_hek293t,0.00040053625200230824,7e-05,0.8,2.2,weak interaction (near-additive),0.002,
MedianExpression_log2,CADD_phred,0.0003770986378987614,5e-05,1.7,1.0,weak interaction (near-additive),0.143,
threeUTR_UC_content,readthrough_score_hek293t,0.0003746840347693344,4e-05,1.6,2.1,weak interaction (near-additive),-0.012,
cdsseq_AUcontentlast200,phylop_new3utr_first200_median,0.000373551058186014,0.0,0.7,1.3,weak interaction (near-additive),0.085,
phastcons_new3utr_first200_median,first.100,0.000352914031943727,4e-05,0.4,1.5,weak interaction (near-additive),0.001,
phylop_new3utr_first200_median,readthrough_score_hek293t,0.0003226275862456067,7e-05,1.1,1.8,weak interaction (near-additive),0.045,
threeUTR_UC_content,phastcons_ptc_to_ejc_median,0.0003199460593062581,2e-05,1.4,1.2,weak interaction (near-additive),0.095,
first.100,phylop_new3utr_first200_median,0.00030819699277575315,1e-05,1.3,1.1,weak interaction (near-additive),0.017,
cdsseqs_UC_content,CADD_phred,0.00030419758859555313,2e-05,0.6,0.8,weak interaction (near-additive),0.025,
phastcons_new3utr_first200_median,phylop_ptc_to_ejc_median,0.00030071723349320935,8e-05,0.4,0.4,weak interaction (near-additive),0.621,
cdsseq_AUcontentlast200,CADD_phred,0.00028200027527500984,4e-05,0.5,0.8,weak interaction (near-additive),-0.052,
CADD_phred,isoform_count,0.00027423327612800217,7e-05,0.7,1.2,weak interaction (near-additive),0.064,
first.200,threeUTR_UC_content,0.0002714388862049253,3e-05,0.7,1.1,weak interaction (near-additive),0.073,
first.100,isoform_count,0.0002691721844751267,3e-05,1.1,1.2,weak interaction (near-additive),0.043,
first.200,phastcons_ptc_to_ejc_median,0.00026262837326118226,4e-05,0.7,1.0,weak interaction (near-additive),0.021,
AmountExonsAfter,threeUTR_UC_content,0.0002621863838182835,6e-05,0.4,1.1,weak interaction (near-additive),0.027,
mut.exon,phylop_new3utr_first200_median,0.0002529489696964495,6e-05,0.5,0.9,weak interaction (near-additive),0.049,
CADD_phred,first.100,0.00024463657309245685,0.0001,0.7,1.0,weak interaction (near-additive),0.087,
first.200,isoform_count,0.00024199527763375713,4e-05,0.6,1.1,weak interaction (near-additive),0.078,
phastcons_new3utr_first200_median,CADD_phred,0.00024097771495138265,3e-05,0.3,0.7,weak interaction (near-additive),0.269,
phastcons_ptc_to_ejc_median,readthrough_score_hek293t,0.00024043828986225488,1e-05,0.9,1.3,weak interaction (near-additive),0.038,
phylop_ptc_to_ejc_median,first.100,0.00021030947514971937,4e-05,0.3,0.9,weak interaction (near-additive),0.047,
first.200,CADD_phred,0.0002097327346007828,3e-05,0.5,0.6,weak interaction (near-additive),0.121,
phastcons_new3utr_first200_median,readthrough_score_hek293t,0.000201187331015967,4e-05,0.3,1.1,weak interaction (near-additive),0.029,
first.100,readthrough_score_hek293t,0.0001965302000666186,2e-05,0.8,1.1,weak interaction (near-additive),0.015,
threeUTR_UC_content,isoform_count,0.00019584487964585944,2e-05,0.8,0.9,weak interaction (near-additive),0.078,
mut.exon,first.200,0.00019329576460665448,9e-05,0.4,0.5,weak interaction (near-additive),0.301,
mut.exon,phastcons_ptc_to_ejc_median,0.00015951453214532423,1e-05,0.3,0.6,weak interaction (near-additive),0.057,
log2_CDS,phastcons_ptc_to_ejc_median,0.000138910915089075,0.0,0.7,0.5,weak interaction (near-additive),0.133,
CADD_phred,phastcons_ptc_to_ejc_median,0.00013760206595770047,3e-05,0.4,0.5,weak interaction (near-additive),0.277,
CADD_phred,phylop_new3utr_first200_median,0.00013047496370802468,1e-05,0.4,0.5,weak interaction (near-additive),0.242,
AmountExonsAfter,first.100,0.00012890747456989298,0.00015,0.2,0.5,weak interaction (near-additive),0.076,
first.100,phastcons_ptc_to_ejc_median,0.0001232454259100701,6e-05,0.5,0.5,weak interaction (near-additive),0.004,
first.100,threeUTR_UC_content,0.00011060377385230236,2e-05,0.5,0.5,weak interaction (near-additive),0.045,
phylop_new3utr_first200_median,phastcons_ptc_to_ejc_median,9.029869685133996e-05,0.0,0.3,0.3,weak interaction (near-additive),0.644,
phylop_ptc_to_ejc_median,phylop_new3utr_first200_median,8.027918881920658e-05,7e-05,0.1,0.3,weak interaction (near-additive),0.842,"LIKELY REDUNDANT (high corr, low interaction)"
phastcons_new3utr_first200_median,phylop_new3utr_first200_median,2.5440727670957097e-05,1e-05,0.0,0.1,weak interaction (near-additive),0.707,"LIKELY REDUNDANT (high corr, low interaction)"
phylop_ptc_to_ejc_median,phastcons_ptc_to_ejc_median,0.0,0.0,0.0,0.0,weak interaction (near-additive),0.724,"LIKELY REDUNDANT (high corr, low interaction)"
isoform_count,phastcons_ptc_to_ejc_median,0.0,0.0,0.0,0.0,weak interaction (near-additive),0.158,
phastcons_new3utr_first200_median,phastcons_ptc_to_ejc_median,0.0,0.0,0.0,0.0,weak interaction (near-additive),0.781,"LIKELY REDUNDANT (high corr, low interaction)"
