feature,mean_abs_shap
ptc_pm100.IGHMBP2,0.00031061036110455593
newutr_all.SRSF7,0.00031051362477310456
ptc_to_ejc.FMR1,0.00030911961063436627
utr3_all.EIF4B,0.0003044528493483752
newutr_all.SRSF6,0.0003006970987647386
utr3_all.ZFP36,0.0002946938382732737
utr3_all.A1CF,0.0002940166441075928
utr3_all.PABPN1,0.0002925869348414905
utr3_200.SRP14,0.00028813743107802765
utr3_200.PABPC1,0.0002834419853553021
utr3_all.DAZAP1,0.000283179949033662
ptc_to_ejc.LIN28A,0.0002800488770948278
utr3_all.YBX2,0.00027987044592011636
ptc_to_ejc.CNOT4,0.0002768417625584798
newutr_200.TIAL1,0.00027076610350480404
utr3_all.KHDRBS3,0.000267561685374942
utr3_all.PTBP1,0.0002653976177153844
ptc_to_ejc.G3BP2,0.0002646464489194706
utr3_200.AGO1,0.00026459142799370287
newutr_200.AGO1,0.00025808057763861006
ejc_pm100.ELAVL4,0.00025790168520925777
utr3_all.IFIH1,0.00025695119784270066
ptc_to_ejc.ESRP2,0.00025142056612986074
ejc_pm100.QKI,0.0002501397861910548
newutr_200.MATR3,0.0002494424049961862
newutr_all.HNRNPC,0.0002482451929281546
newutr_all.CELF1,0.00024813669110203317
